name,team,position,position_group,year,draft_control
Harland Svare,Chargers,General Manager,General Manager,1975,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1975,0
Johnny Sanders,Chargers,General Manager,General Manager,1976,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1976,0
Johnny Sanders,Chargers,General Manager,General Manager,1977,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1977,0
Johnny Sanders,Chargers,General Manager,General Manager,1978,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1978,0
Johnny Sanders,Chargers,General Manager,General Manager,1979,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1979,0
Johnny Sanders,Chargers,General Manager,General Manager,1980,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1980,0
Johnny Sanders,Chargers,General Manager,General Manager,1981,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1981,0
Johnny Sanders,Chargers,General Manager,General Manager,1982,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1982,0
Johnny Sanders,Chargers,General Manager,General Manager,1983,1
Eugene Klein,Chargers,Principal Owner/President,Owner,1983,0
Johnny Sanders,Chargers,General Manager,General Manager,1984,1
Alex Spanos,Chargers,Principal Owner,Owner,1984,0
Johnny Sanders,Chargers,General Manager,General Manager,1985,1
Alex Spanos,Chargers,Principal Owner,Owner,1985,0
Johnny Sanders,Chargers,General Manager,General Manager,1986,1
Alex Spanos,Chargers,Principal Owner,Owner,1986,0
Steve Ortmayer,Chargers,General Manager,General Manager,1987,1
Alex Spanos,Chargers,Principal Owner,Owner,1987,0
Steve Ortmayer,Chargers,General Manager,General Manager,1988,1
Alex Spanos,Chargers,Principal Owner,Owner,1988,0
Steve Ortmayer,Chargers,General Manager,General Manager,1989,1
Alex Spanos,Chargers,Principal Owner,Owner,1989,0
Bobby Beathard,Chargers,General Manager,General Manager,1990,1
Alex Spanos,Chargers,Principal Owner,Owner,1990,0
Bobby Beathard,Chargers,General Manager,General Manager,1991,1
Alex Spanos,Chargers,Principal Owner,Owner,1991,0
Bobby Beathard,Chargers,General Manager,General Manager,1992,1
Alex Spanos,Chargers,Principal Owner,Owner,1992,0
Bobby Beathard,Chargers,General Manager,General Manager,1993,1
Alex Spanos,Chargers,Principal Owner,Owner,1993,0
Bobby Beathard,Chargers,General Manager,General Manager,1994,1
Alex Spanos,Chargers,Principal Owner,Owner,1994,0
Bobby Beathard,Chargers,General Manager,General Manager,1995,1
Alex Spanos,Chargers,Principal Owner,Owner,1995,0
Bobby Beathard,Chargers,General Manager,General Manager,1996,1
Alex Spanos,Chargers,Principal Owner,Owner,1996,0
Bobby Beathard,Chargers,General Manager,General Manager,1997,1
Alex Spanos,Chargers,Principal Owner,Owner,1997,0
Bobby Beathard,Chargers,General Manager,General Manager,1998,1
Alex Spanos,Chargers,Principal Owner,Owner,1998,0
Bobby Beathard,Chargers,General Manager,General Manager,1999,1
Alex Spanos,Chargers,Principal Owner,Owner,1999,0
Bobby Beathard,Chargers,General Manager,General Manager,2000,1
Alex Spanos,Chargers,Principal Owner,Owner,2000,0
John Butler,Chargers,General Manager,General Manager,2001,1
Alex Spanos,Chargers,Principal Owner,Owner,2001,0
John Butler,Chargers,General Manager,General Manager,2002,1
Alex Spanos,Chargers,Principal Owner,Owner,2002,0
A.J. Smith,Chargers,General Manager,General Manager,2003,1
Alex Spanos,Chargers,Principal Owner,Owner,2003,0
A.J. Smith,Chargers,General Manager,General Manager,2004,1
Alex Spanos,Chargers,Principal Owner,Owner,2004,0
A.J. Smith,Chargers,General Manager,General Manager,2005,1
Alex Spanos,Chargers,Principal Owner,Owner,2005,0
A.J. Smith,Chargers,General Manager,General Manager,2006,1
Alex Spanos,Chargers,Principal Owner,Owner,2006,0
Dean Spanos,Chargers,Owner/President,Owner,2006,0
A.J. Smith,Chargers,General Manager,General Manager,2007,1
Alex Spanos,Chargers,Principal Owner,Owner,2007,0
Dean Spanos,Chargers,Owner/President,Owner,2007,0
A.J. Smith,Chargers,General Manager,General Manager,2008,1
Alex Spanos,Chargers,Principal Owner,Owner,2008,0
Dean Spanos,Chargers,Owner/President,Owner,2008,0
A.J. Smith,Chargers,General Manager,General Manager,2009,1
Alex Spanos,Chargers,Principal Owner,Owner,2009,0
Dean Spanos,Chargers,Owner/President,Owner,2009,0
A.J. Smith,Chargers,General Manager,General Manager,2010,1
Alex Spanos,Chargers,Principal Owner,Owner,2010,0
Dean Spanos,Chargers,Owner/President,Owner,2010,0
A.J. Smith,Chargers,General Manager,General Manager,2011,1
Alex Spanos,Chargers,Principal Owner,Owner,2011,0
Dean Spanos,Chargers,Owner/President,Owner,2011,0
A.J. Smith,Chargers,General Manager,General Manager,2012,1
Alex Spanos,Chargers,Principal Owner,Owner,2012,0
Dean Spanos,Chargers,Owner/President,Owner,2012,0
Tom Telesco,Chargers,General Manager,General Manager,2013,1
Alex Spanos,Chargers,Principal Owner,Owner,2013,0
Dean Spanos,Chargers,Owner/President,Owner,2013,0
Tom Telesco,Chargers,General Manager,General Manager,2014,1
Alex Spanos,Chargers,Principal Owner,Owner,2014,0
Dean Spanos,Chargers,Owner/President,Owner,2014,0
Tom Telesco,Chargers,General Manager,General Manager,2015,1
Alex Spanos,Chargers,Principal Owner,Owner,2015,0
Dean Spanos,Chargers,Owner/President,Owner,2015,0
Tom Telesco,Chargers,General Manager,General Manager,2016,1
Alex Spanos,Chargers,Principal Owner,Owner,2016,0
Dean Spanos,Chargers,Owner/President,Owner,2016,0
Tom Telesco,Chargers,General Manager,General Manager,2017,1
Alex Spanos,Chargers,Principal Owner,Owner,2017,0
Dean Spanos,Chargers,Owner/President,Owner,2017,0
Tom Telesco,Chargers,General Manager,General Manager,2018,1
Alex Spanos,Chargers,Principal Owner,Owner,2018,0
Dean Spanos,Chargers,Owner/President,Owner,2018,0
Tom Telesco,Chargers,General Manager,General Manager,2019,1
Dean Spanos,Chargers,Owner/President,Owner,2019,0
Tom Telesco,Chargers,General Manager,General Manager,2020,1
Dean Spanos,Chargers,Owner/President,Owner,2020,0
Tom Telesco,Chargers,General Manager,General Manager,2021,1
Dean Spanos,Chargers,Owner/President,Owner,2021,0
Tom Telesco,Chargers,General Manager,General Manager,2022,1
Dean Spanos,Chargers,Owner/President,Owner,2022,0
Tom Telesco,Chargers,General Manager,General Manager,2023,1
JoJo Wooden,Chargers,Interim General Manager,Interim General Manager,2023,0
Dean Spanos,Chargers,Owner/President,Owner,2023,0
Joe Hortiz,Chargers,General Manager,General Manager,2024,1
Dean Spanos,Chargers,Owner/President,Owner,2024,0
Joe Hortiz,Chargers,General Manager,General Manager,2025,1
Dean Spanos,Chargers,Owner/President,Owner,2025,0
Don Rossi,Chiefs,General Manager,General Manager,1960,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1960,0
Jack Steadman,Chiefs,General Manager,General Manager,1961,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1961,0
Jack Steadman,Chiefs,General Manager,General Manager,1962,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1962,0
Jack Steadman,Chiefs,General Manager,General Manager,1963,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1963,0
Jack Steadman,Chiefs,General Manager,General Manager,1964,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1964,0
Jack Steadman,Chiefs,General Manager,General Manager,1965,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1965,0
Jack Steadman,Chiefs,General Manager,General Manager,1966,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1966,0
Jack Steadman,Chiefs,General Manager,General Manager,1967,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1967,0
Jack Steadman,Chiefs,General Manager,General Manager,1968,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1968,0
Jack Steadman,Chiefs,General Manager,General Manager,1969,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1969,0
Jack Steadman,Chiefs,General Manager,General Manager,1970,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1970,0
Jack Steadman,Chiefs,General Manager,General Manager,1971,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1971,0
Jack Steadman,Chiefs,General Manager,General Manager,1972,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1972,0
Jack Steadman,Chiefs,General Manager,General Manager,1973,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1973,0
Jack Steadman,Chiefs,General Manager,General Manager,1974,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1974,0
Jack Steadman,Chiefs,General Manager,General Manager,1975,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1975,0
Jim Schaaf,Chiefs,General Manager,General Manager,1976,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1976,0
Jim Schaaf,Chiefs,General Manager,General Manager,1977,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1977,0
Jim Schaaf,Chiefs,General Manager,General Manager,1978,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1978,0
Jim Schaaf,Chiefs,General Manager,General Manager,1979,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1979,0
Jim Schaaf,Chiefs,General Manager,General Manager,1980,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1980,0
Jim Schaaf,Chiefs,General Manager,General Manager,1981,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1981,0
Jim Schaaf,Chiefs,General Manager,General Manager,1982,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1982,0
Jim Schaaf,Chiefs,General Manager,General Manager,1983,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1983,0
Jim Schaaf,Chiefs,General Manager,General Manager,1984,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1984,0
Jim Schaaf,Chiefs,General Manager,General Manager,1985,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1985,0
Jim Schaaf,Chiefs,General Manager,General Manager,1986,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1986,0
Jim Schaaf,Chiefs,General Manager,General Manager,1987,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1987,0
Jim Schaaf,Chiefs,General Manager,General Manager,1988,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1988,0
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1989,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1989,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1990,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1990,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1991,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1991,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1992,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1992,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1993,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1993,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1994,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1994,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1995,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1995,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1996,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1996,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1997,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1997,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1998,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1998,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,1999,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,1999,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2000,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2000,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2001,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2001,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2002,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2002,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2003,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2003,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2004,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2004,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2005,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2005,1
Lamar Hunt,Chiefs,Founder/Principal Owner,Owner,2006,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2006,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2007,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2007,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2008,0
Carl Peterson,Chiefs,President/General Manager,President/General Manager,2008,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2009,0
Scott Pioli,Chiefs,General Manager,General Manager,2009,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2010,0
Scott Pioli,Chiefs,General Manager,General Manager,2010,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2011,0
Scott Pioli,Chiefs,General Manager,General Manager,2011,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2012,0
Scott Pioli,Chiefs,General Manager,General Manager,2012,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2013,0
John Dorsey,Chiefs,General Manager,General Manager,2013,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2014,0
John Dorsey,Chiefs,General Manager,General Manager,2014,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2015,0
John Dorsey,Chiefs,General Manager,General Manager,2015,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2016,0
John Dorsey,Chiefs,General Manager,General Manager,2016,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2017,0
Brett Veach,Chiefs,General Manager,General Manager,2017,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2018,0
Brett Veach,Chiefs,General Manager,General Manager,2018,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2019,0
Brett Veach,Chiefs,General Manager,General Manager,2019,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2020,0
Brett Veach,Chiefs,General Manager,General Manager,2020,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2021,0
Brett Veach,Chiefs,General Manager,General Manager,2021,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2022,0
Brett Veach,Chiefs,General Manager,General Manager,2022,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2023,0
Brett Veach,Chiefs,General Manager,General Manager,2023,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2024,0
Brett Veach,Chiefs,General Manager,General Manager,2024,1
Clark Hunt,Chiefs,Chairman/CEO,General Executive,2025,0
Brett Veach,Chiefs,General Manager,General Manager,2025,1
Walt Driskill,Colts,President/Head Coach/General Manager,Head Coach/General Manager,1948,1
Walt Driskill,Colts,President/General Manager,President/General Manager,1949,1
Carroll Rosenbloom,Colts,Owner,Owner,1953,0
Don Kellett,Colts,President/General Manager,President/General Manager,1953,1
Carroll Rosenbloom,Colts,Owner,Owner,1954,0
Don Kellett,Colts,President/General Manager,President/General Manager,1954,1
Carroll Rosenbloom,Colts,Owner,Owner,1955,0
Don Kellett,Colts,President/General Manager,President/General Manager,1955,1
Carroll Rosenbloom,Colts,Owner,Owner,1956,0
Don Kellett,Colts,President/General Manager,President/General Manager,1956,1
Carroll Rosenbloom,Colts,Owner,Owner,1957,0
Don Kellett,Colts,President/General Manager,President/General Manager,1957,1
Carroll Rosenbloom,Colts,Owner,Owner,1958,0
Don Kellett,Colts,President/General Manager,President/General Manager,1958,1
Carroll Rosenbloom,Colts,Owner,Owner,1959,0
Don Kellett,Colts,President/General Manager,President/General Manager,1959,1
Carroll Rosenbloom,Colts,Owner,Owner,1960,0
Don Kellett,Colts,President/General Manager,President/General Manager,1960,1
Carroll Rosenbloom,Colts,Owner,Owner,1961,0
Don Kellett,Colts,President/General Manager,President/General Manager,1961,1
Carroll Rosenbloom,Colts,Owner,Owner,1962,0
Don Kellett,Colts,President/General Manager,President/General Manager,1962,1
Carroll Rosenbloom,Colts,Owner,Owner,1963,0
Don Kellett,Colts,President/General Manager,President/General Manager,1963,1
Carroll Rosenbloom,Colts,Owner,Owner,1964,0
Don Kellett,Colts,President/General Manager,President/General Manager,1964,1
Carroll Rosenbloom,Colts,Owner,Owner,1965,0
Don Kellett,Colts,President/General Manager,President/General Manager,1965,1
Carroll Rosenbloom,Colts,Owner,Owner,1966,0
Don Kellett,Colts,President/General Manager,President/General Manager,1966,1
Joe Campanella,Colts,Vice President/General Manager,VP/General Manager,1966,0
Harry Hulmes,Colts,Acting General Manager,General Manager,1967,1
Carroll Rosenbloom,Colts,Owner,Owner,1967,0
Joe Campanella,Colts,Vice President/General Manager,VP/General Manager,1967,0
Harry Hulmes,Colts,Acting General Manager,General Manager,1968,1
Carroll Rosenbloom,Colts,Owner,Owner,1968,0
Harry Hulmes,Colts,Acting General Manager,General Manager,1969,1
Carroll Rosenbloom,Colts,Owner,Owner,1969,0
Don Klosterman,Colts,General Manager,General Manager,1970,1
Carroll Rosenbloom,Colts,Owner,Owner,1970,0
Don Klosterman,Colts,General Manager,General Manager,1971,1
Carroll Rosenbloom,Colts,Owner,Owner,1971,0
Joe Thomas,Colts,General Manager,General Manager,1972,1
Robert Irsay,Colts,Owner,Owner,1972,0
Joe Thomas,Colts,General Manager,General Manager,1973,1
Robert Irsay,Colts,Owner,Owner,1973,0
Joe Thomas,Colts,General Manager,General Manager,1974,1
Robert Irsay,Colts,Owner,Owner,1974,0
Joe Thomas,Colts,General Manager,General Manager,1975,1
Robert Irsay,Colts,Owner,Owner,1975,0
Joe Thomas,Colts,General Manager,General Manager,1976,1
Robert Irsay,Colts,Owner,Owner,1976,0
Robert Irsay,Colts,Owner,Owner,1977,0
Dick Szymanski,Colts,Executive VP/General Manager,VP/General Manager,1977,1
Robert Irsay,Colts,Owner,Owner,1978,0
Dick Szymanski,Colts,Executive VP/General Manager,VP/General Manager,1978,1
Robert Irsay,Colts,Owner,Owner,1979,0
Dick Szymanski,Colts,Executive VP/General Manager,VP/General Manager,1979,1
Robert Irsay,Colts,Owner,Owner,1980,0
Dick Szymanski,Colts,Executive VP/General Manager,VP/General Manager,1980,1
Robert Irsay,Colts,Owner,Owner,1981,0
Dick Szymanski,Colts,Executive VP/General Manager,VP/General Manager,1981,1
Ernie Accorsi,Colts,General Manager,General Manager,1982,1
Robert Irsay,Colts,Owner,Owner,1982,0
Ernie Accorsi,Colts,General Manager,General Manager,1983,1
Robert Irsay,Colts,Owner,Owner,1983,0
Robert Irsay,Colts,Owner,Owner,1984,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1984,1
Robert Irsay,Colts,Owner,Owner,1985,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1985,1
Robert Irsay,Colts,Owner,Owner,1986,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1986,1
Robert Irsay,Colts,Owner,Owner,1987,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1987,1
Robert Irsay,Colts,Owner,Owner,1988,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1988,1
Robert Irsay,Colts,Owner,Owner,1989,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1989,1
Robert Irsay,Colts,Owner,Owner,1990,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1990,1
Robert Irsay,Colts,Owner,Owner,1991,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1991,1
Robert Irsay,Colts,Owner,Owner,1992,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1992,1
Robert Irsay,Colts,Owner,Owner,1993,0
Jim Irsay,Colts,Vice President/General Manager,VP/General Manager,1993,1
Bill Tobin,Colts,General Manager,General Manager,1994,1
Robert Irsay,Colts,Owner,Owner,1994,0
Bill Tobin,Colts,General Manager,General Manager,1995,1
Robert Irsay,Colts,Owner,Owner,1995,0
Bill Tobin,Colts,General Manager,General Manager,1996,1
Robert Irsay,Colts,Owner,Owner,1996,0
Jim Irsay,Colts,Owner/CEO,Owner,1997,0
Bill Polian,Colts,President/General Manager,President/General Manager,1997,1
Jim Irsay,Colts,Owner/CEO,Owner,1998,0
Bill Polian,Colts,President/General Manager,President/General Manager,1998,1
Jim Irsay,Colts,Owner/CEO,Owner,1999,0
Bill Polian,Colts,President/General Manager,President/General Manager,1999,1
Jim Irsay,Colts,Owner/CEO,Owner,2000,0
Bill Polian,Colts,President/General Manager,President/General Manager,2000,1
Jim Irsay,Colts,Owner/CEO,Owner,2001,0
Bill Polian,Colts,President/General Manager,President/General Manager,2001,1
Jim Irsay,Colts,Owner/CEO,Owner,2002,0
Bill Polian,Colts,President/General Manager,President/General Manager,2002,1
Jim Irsay,Colts,Owner/CEO,Owner,2003,0
Bill Polian,Colts,President/General Manager,President/General Manager,2003,1
Jim Irsay,Colts,Owner/CEO,Owner,2004,0
Bill Polian,Colts,President/General Manager,President/General Manager,2004,1
Jim Irsay,Colts,Owner/CEO,Owner,2005,0
Bill Polian,Colts,President/General Manager,President/General Manager,2005,1
Jim Irsay,Colts,Owner/CEO,Owner,2006,0
Bill Polian,Colts,President/General Manager,President/General Manager,2006,1
Jim Irsay,Colts,Owner/CEO,Owner,2007,0
Bill Polian,Colts,President/General Manager,President/General Manager,2007,1
Jim Irsay,Colts,Owner/CEO,Owner,2008,0
Bill Polian,Colts,President/General Manager,President/General Manager,2008,1
Jim Irsay,Colts,Owner/CEO,Owner,2009,0
Bill Polian,Colts,President/General Manager,President/General Manager,2009,1
Chris Polian,Colts,VP of Football Operations/General Manager,VP/General Manager,2009,0
Jim Irsay,Colts,Owner/CEO,Owner,2010,0
Chris Polian,Colts,VP of Football Operations/General Manager,VP/General Manager,2010,1
Jim Irsay,Colts,Owner/CEO,Owner,2011,0
Chris Polian,Colts,VP of Football Operations/General Manager,VP/General Manager,2011,1
Ryan Grigson,Colts,General Manager,General Manager,2012,1
Jim Irsay,Colts,Owner/CEO,Owner,2012,0
Ryan Grigson,Colts,General Manager,General Manager,2013,1
Jim Irsay,Colts,Owner/CEO,Owner,2013,0
Ryan Grigson,Colts,General Manager,General Manager,2014,1
Jim Irsay,Colts,Owner/CEO,Owner,2014,0
Ryan Grigson,Colts,General Manager,General Manager,2015,1
Jim Irsay,Colts,Owner/CEO,Owner,2015,0
Ryan Grigson,Colts,General Manager,General Manager,2016,1
Jim Irsay,Colts,Owner/CEO,Owner,2016,0
Chris Ballard,Colts,General Manager,General Manager,2017,1
Jim Irsay,Colts,Owner/CEO,Owner,2017,0
Chris Ballard,Colts,General Manager,General Manager,2018,1
Jim Irsay,Colts,Owner/CEO,Owner,2018,0
Chris Ballard,Colts,General Manager,General Manager,2019,1
Jim Irsay,Colts,Owner/CEO,Owner,2019,0
Chris Ballard,Colts,General Manager,General Manager,2020,1
Jim Irsay,Colts,Owner/CEO,Owner,2020,0
Chris Ballard,Colts,General Manager,General Manager,2021,1
Jim Irsay,Colts,Owner/CEO,Owner,2021,0
Chris Ballard,Colts,General Manager,General Manager,2022,1
Jim Irsay,Colts,Owner/CEO,Owner,2022,0
Chris Ballard,Colts,General Manager,General Manager,2023,1
Jim Irsay,Colts,Owner/CEO,Owner,2023,0
Chris Ballard,Colts,General Manager,General Manager,2024,1
Jim Irsay,Colts,Owner/CEO,Owner,2024,0
Chris Ballard,Colts,General Manager,General Manager,2025,1
Jim Irsay,Colts,Owner/CEO,Owner,2025,0
Jack Espey,Commanders,General Manager,General Manager,1936,1
George Preston Marshall,Commanders,Owner/President,Owner,1936,0
Jack Espey,Commanders,General Manager,General Manager,1937,1
George Preston Marshall,Commanders,Owner/President,Owner,1937,0
Jack Espey,Commanders,General Manager,General Manager,1938,1
George Preston Marshall,Commanders,Owner/President,Owner,1938,0
Jack Espey,Commanders,General Manager,General Manager,1939,1
George Preston Marshall,Commanders,Owner/President,Owner,1939,0
Jack Espey,Commanders,General Manager,General Manager,1940,1
George Preston Marshall,Commanders,Owner/President,Owner,1940,0
Jack Espey,Commanders,General Manager,General Manager,1941,1
George Preston Marshall,Commanders,Owner/President,Owner,1941,0
Jack Espey,Commanders,General Manager,General Manager,1942,1
George Preston Marshall,Commanders,Owner/President,Owner,1942,0
Jack Espey,Commanders,General Manager,General Manager,1943,1
George Preston Marshall,Commanders,Owner/President,Owner,1943,0
George Preston Marshall,Commanders,Owner/President,Owner,1944,1
George Preston Marshall,Commanders,Owner/President,Owner,1945,1
George Preston Marshall,Commanders,Owner/President,Owner,1946,1
Dick McCann,Commanders,General Manager,General Manager,1947,1
George Preston Marshall,Commanders,Owner/President,Owner,1947,0
Dick McCann,Commanders,General Manager,General Manager,1948,1
George Preston Marshall,Commanders,Owner/President,Owner,1948,0
Dick McCann,Commanders,General Manager,General Manager,1949,1
George Preston Marshall,Commanders,Owner/President,Owner,1949,0
Dick McCann,Commanders,General Manager,General Manager,1950,1
George Preston Marshall,Commanders,Owner/President,Owner,1950,0
Dick McCann,Commanders,General Manager,General Manager,1951,1
George Preston Marshall,Commanders,Owner/President,Owner,1951,0
Dick McCann,Commanders,General Manager,General Manager,1952,1
George Preston Marshall,Commanders,Owner/President,Owner,1952,0
Dick McCann,Commanders,General Manager,General Manager,1953,1
George Preston Marshall,Commanders,Owner/President,Owner,1953,0
Dick McCann,Commanders,General Manager,General Manager,1954,1
George Preston Marshall,Commanders,Owner/President,Owner,1954,0
Dick McCann,Commanders,General Manager,General Manager,1955,1
George Preston Marshall,Commanders,Owner/President,Owner,1955,0
Dick McCann,Commanders,General Manager,General Manager,1956,1
George Preston Marshall,Commanders,Owner/President,Owner,1956,0
Dick McCann,Commanders,General Manager,General Manager,1957,1
George Preston Marshall,Commanders,Owner/President,Owner,1957,0
Dick McCann,Commanders,General Manager,General Manager,1958,1
George Preston Marshall,Commanders,Owner/President,Owner,1958,0
Dick McCann,Commanders,General Manager,General Manager,1959,1
George Preston Marshall,Commanders,Owner/President,Owner,1959,0
Dick McCann,Commanders,General Manager,General Manager,1960,1
George Preston Marshall,Commanders,Owner/President,Owner,1960,0
Dick McCann,Commanders,General Manager,General Manager,1961,1
George Preston Marshall,Commanders,Owner/President,Owner,1961,0
Bill McPeak,Commanders,Head Coach/General Manager,Head Coach/General Manager,1962,1
George Preston Marshall,Commanders,Owner/President,Owner,1962,0
Bill McPeak,Commanders,Head Coach/General Manager,Head Coach/General Manager,1963,1
George Preston Marshall,Commanders,Owner/President,Owner,1963,0
Bill McPeak,Commanders,Head Coach/General Manager,Head Coach/General Manager,1964,1
George Preston Marshall,Commanders,Owner/President,Owner,1964,0
Bill McPeak,Commanders,Head Coach/General Manager,Head Coach/General Manager,1965,1
George Preston Marshall,Commanders,Owner/President,Owner,1965,0
Otto Graham,Commanders,Head Coach/General Manager,Head Coach/General Manager,1966,1
George Preston Marshall,Commanders,Owner/President,Owner,1966,0
Otto Graham,Commanders,Head Coach/General Manager,Head Coach/General Manager,1967,1
George Preston Marshall,Commanders,Owner/President,Owner,1967,0
Otto Graham,Commanders,Head Coach/General Manager,Head Coach/General Manager,1968,1
George Preston Marshall,Commanders,Owner/President,Owner,1968,0
Vince Lombardi,Commanders,Head Coach/Executive VP of Football Operations,Head Coach/Executive,1969,1
Edward Bennett Williams,Commanders,President/Partial Owner,Owner,1969,0
