name,team,position,position_group,year,draft_control
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1986,1
John Sawyer,Bengals,Owner/President,Owner,1987,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1987,1
John Sawyer,Bengals,Owner/President,Owner,1988,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1988,1
John Sawyer,Bengals,Owner/President,Owner,1989,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1989,1
John Sawyer,Bengals,Owner/President,Owner,1990,0
Paul Brown,Bengals,Owner/General Manager,Owner/General Manager,1990,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1991,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1992,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1993,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1994,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1995,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1996,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1997,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1998,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,1999,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2000,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2001,1
Duke Tobin,Bengals,Director of Player Personnel,Director,2002,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2002,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2003,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2003,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2004,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2004,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2005,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2005,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2006,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2006,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2007,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2007,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2008,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2008,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2009,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2009,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2010,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2010,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2011,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2011,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2012,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2012,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2013,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2013,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2014,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2014,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2015,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2015,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2016,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2016,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2017,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2017,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2018,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2018,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2019,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2019,0
Duke Tobin,Bengals,Director of Player Personnel,Director,2020,1
Mike Brown,Bengals,Owner/General Manager,Owner/General Manager,2020,0
