rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
64,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vyovufa0hlqpxayywo7f",CB,JR.,Joejuan,Williams,66,–,55,114,92,50,74,41,88,94,72,57,79,96,57,20.4,73.13
65,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103566.png,OT,RS SR.,Kaleb,McGary,63,–,101,132,37,73,48,51,65,96,42,–,78,–,59,26.7,69.54
66,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dr5kh4sam5mwwa3zqilm",RB,JR.,Miles,Sanders,76,–,87,72,63,42,70,45,82,65,73,–,77,–,62,14.9,69.85
67,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103766.png,ED,SR.,L.J.,Collier,61,44,71,112,89,38,101,65,54,82,35,83,99,–,69,24,71.64
68,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103533.png,RB,SR.,Damien,Harris,55,–,105,77,49,108,83,87,135,59,81,65,74,35,91,26.2,77
69,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103858.png,WR,JR.,Riley,Ridley,59,–,115,61,79,65,172,46,71,62,99,56,52,63,76,31.8,77.27
70,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103840.png,CB,JR.,Trayvon,Mullen,90,29,119,69,60,75,102,48,160,79,–,48,63,91,79,34.2,76.13
71,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103856.png,ED,JR.,Anthony,Nelson,70,–,38,79,127,101,59,77,53,109,51,64,68,–,66,25,74
72,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103715.png,WR,SR.,Andy,Isabella,64,–,63,82,80,110,60,134,30,75,64,87,75,–,61,25.3,77.5
73,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t11zkcmvfugw8es4gwwh",TE,RS JR.,Jace,Sternberger,87,–,79,50,72,71,42,107,67,81,85,73,86,–,87,16.8,75.92
74,https://a.espncdn.com/i/teamlogos/ncaa/500/2710.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pe66kjcvvqxpqjzrsa5w",IDL,RS SR.,Khalen,Saunders,73,–,76,87,82,83,103,111,47,86,92,76,62,57,98,17.7,80.93
75,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103841.png,RB,JR.,Darrell,Henderson,80,–,111,49,100,125,77,86,119,51,77,58,80,–,71,23.8,82.36
76,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103891.png,CB,JR.,Sean,Bunting,29,–,91,53,85,62,87,96,83,43,83,–,104,–,–,23.9,74.18
77,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103747.png,OT,RS SR.,Yodny,Cajuste,–,–,39,46,83,135,82,144,97,66,68,98,73,95,–,31.7,82.69
78,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103842.png,CB,JR.,David,Long,72,–,35,108,91,58,36,79,33,115,61,–,189,–,73,43.8,79.17
79,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103551.png,ED,SR.,Oshane,Ximines,–,–,49,128,29,74,119,67,103,146,–,68,95,60,93,33.1,85
80,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103800.png,WR,SR.,Terry,McLaurin,93,–,103,64,70,57,94,124,68,68,91,–,87,74,–,19.3,82.75
