rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
227,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dimei7jcd3jdqga0zg1g",CB,SR.,Tim,Harris,–,–,–,155,224,–,265,417,117,252,–,–,123,–,–,105,221.86
228,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103642.png,LB,SR.,Ryan,Connelly,–,–,–,188,306,202,213,263,–,199,–,–,254,–,–,43.2,232.14
229,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103731.png,ED,SR.,Wyatt,Ray,–,–,–,190,287,179,240,228,–,–,–,–,163,–,–,46,214.5
230,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103775.png,RB,JR.,Alex,Barnes,–,–,–,163,430,280,173,210,191,–,–,–,156,–,–,98,229
231,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103612.png,CB,SR.,Jordan,Miller,–,–,–,–,391,160,208,173,215,206,–,–,266,–,–,78.1,231.29
232,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103851.png,S,RS JR.,Mike,Bell,–,–,161,265,156,310,323,336,–,–,–,–,209,72,–,95,229
233,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103872.png,WR,JR.,Anthony,Ratliff-Williams,–,–,–,100,246,350,255,287,240,–,–,–,143,–,–,84.7,231.57
234,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h4runte1sboqgjtqaxb4",RB,SR.,L.J.,Scott,–,–,–,276,274,256,282,164,–,–,–,–,236,–,–,75,224.14
235,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103925.png,OG,SR.,Martez,Ivey,–,–,–,–,93,362,233,298,–,–,–,–,178,–,–,112.7,207
236,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/udihqs4tocv3bkuy5jeu",RB,RS JR.,Jordan,Scarlett,–,–,158,284,218,268,375,369,148,284,–,–,208,–,–,81.9,256.89
237,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103635.png,OT,RS SR.,Derwin,Gray,–,–,162,–,320,267,176,250,217,229,–,–,–,–,–,54.1,231.57
238,https://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tlg7fs35sowhtzixwrms",CB,RS JR.,Xavier,Crawford,–,–,–,279,429,282,164,202,110,210,–,–,–,–,–,103.3,239.43
239,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tcjuk7ina8ozpxetqaba",QB,SR.,Easton,Stick,–,–,159,251,319,330,118,364,209,267,–,–,–,–,–,86,252.13
240,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j0x4byjefgkrlydxniq2",ED,SR.,Malik,Carney,–,–,–,272,272,210,220,264,205,–,–,–,241,–,–,29.3,240.57
241,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103849.png,CB,JR.,Hamp,Cheevers,–,–,146,244,308,176,291,452,152,–,–,–,210,–,–,102.3,247.38
242,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103629.png,ED,SR.,Porter,Gustin,–,–,184,–,245,221,328,188,241,–,–,–,243,–,–,48,235.71
243,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103801.png,C,SR.,Javon,Patterson,–,–,185,243,251,238,228,326,–,290,–,–,–,–,–,45.2,251.57
244,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103653.png,LB,SR.,Dakota,Allen,–,–,164,287,198,207,197,473,–,283,–,–,293,–,–,98.2,262.75
245,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103614.png,IDL,RS SR.,Demarcus,Christmas,–,–,–,277,115,222,302,334,–,293,–,–,271,–,–,72.1,259.14
246,https://a.espncdn.com/i/teamlogos/ncaa/500/302.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103773.png,WR,RS SR.,Keelan,Doss,–,–,–,260,290,294,205,199,–,–,–,–,192,–,–,47,240
247,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103754.png,IDL,JR.,Byron,Cowart,–,–,–,278,229,161,345,262,–,276,–,–,291,–,–,57,263.14
248,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103616.png,OT,RS SR.,Paul,Adams,–,–,–,202,253,177,258,212,–,–,–,–,–,–,–,34.5,220.4
249,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103643.png,IDL,SR.,Albert,Huggins,–,–,–,269,303,214,217,241,181,–,–,–,–,–,–,43.5,237.5
250,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103571.png,OG,RS SR.,Alex,Bars,–,–,–,92,339,258,198,464,236,–,–,–,186,–,–,119.5,253.29
251,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103859.png,WR,JR.,Lil'Jordan,Humphrey,–,–,–,283,210,287,301,300,–,–,–,–,248,–,–,73.6,246.57
252,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103922.png,OT,RS SO.,Tyler,Roemer,–,–,–,203,395,303,152,165,220,–,–,–,–,–,–,92.9,239.67
253,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103542.png,OG,JR.,Nate,Herbig,–,–,166,290,214,150,251,415,–,–,–,–,268,–,–,89,250.57
254,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uiaeqqybtur2leranlm2",S,SR.,Darius,West,–,–,100,250,372,217,264,220,–,–,–,–,–,–,–,87.8,237.17
255,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103863.png,ED,RS JR.,Jordan,Brailford,–,–,–,–,360,244,227,206,204,255,–,–,–,–,–,57.9,249.33
256,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103806.png,CB,SR.,Montre,Hartage,–,–,–,183,353,266,325,301,203,–,–,–,164,–,–,74,256.43
257,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/104011.png,CB,RS SR.,Ken,Webster,–,–,–,231,233,322,201,347,–,271,–,–,261,–,–,52.1,266.57
258,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103593.png,IDL,SR.,Terry,Beckner Jr.,–,–,–,–,140,195,261,–,218,237,–,–,159,–,–,46.3,201.67
259,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103693.png,WR,RS SR.,Tyre,Brady,–,–,–,219,177,281,294,207,–,–,–,–,295,–,–,50.9,245.5
260,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103570.png,CB,SR.,Jamal,Peters,–,–,–,268,370,220,241,231,–,–,–,–,185,–,–,63.6,252.5
261,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103792.png,OG,RS SR.,Tyler,Jones,–,–,–,185,260,288,195,238,–,–,–,–,–,–,–,43.4,233.2
262,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103662.png,S,RS SR.,Saquan,Hampton,–,–,138,–,461,241,235,246,–,183,–,–,–,–,–,111.2,250.67
263,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103807.png,LB,SR.,Gary,Johnson,–,–,–,–,180,292,239,297,–,–,–,–,172,–,–,59.4,236
264,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103740.png,RB,RS SR.,Jalin,Moore,–,–,–,–,232,230,281,171,–,–,–,–,267,–,–,42.6,236.2
265,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103613.png,ED,SR.,Jonathan,Ledbetter,–,–,–,255,184,171,329,236,–,–,–,–,–,–,–,63.1,235
266,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hy2sl45qdthvkukdpos0",S,SR.,Andrew,Wingard,–,–,122,–,347,200,312,272,–,–,–,–,240,–,–,80.9,248.83
267,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103923.png,CB,RS SR.,Derrek,Thomas,–,–,192,–,456,189,171,278,–,–,–,–,216,–,–,107.4,250.33
268,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103685.png,P,SR.,Mitch,Wishnowsky,–,–,–,–,212,265,252,215,–,412,–,–,–,–,–,82,271.2
269,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103592.png,CB,JR.,Blessuan,Austin,–,–,–,–,419,183,218,270,214,305,–,–,–,–,–,85.8,268.17
270,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q01fgihrxq1dviredaou",OT,RS JR.,William,Sweet,–,–,181,–,207,364,262,362,184,–,–,–,298,–,–,78.8,265.43
271,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103594.png,WR,SR.,Terry,Godwin,–,–,–,168,394,274,370,304,–,240,–,–,214,–,–,81.9,280.57
272,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103784.png,LB,SR.,Ulysees,Gilbert,–,–,–,258,377,358,315,251,–,301,–,–,161,–,–,73.2,288.71
273,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103768.png,TE,RS JR.,Zach,Gentry,–,–,–,212,256,295,373,428,–,261,–,–,201,–,–,83.6,289.43
274,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tueopm20so0ziqf9nqbr",QB,SR.,Jordan,Ta'amu,–,–,–,150,239,–,275,361,–,–,–,–,188,–,–,81.6,242.6
275,https://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h4t5shcsmufh5rznunsw",LB,RS SR.,Malik,Reed,–,–,–,224,220,–,453,373,159,–,–,–,134,–,–,125.7,260.5
276,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103582.png,CB,SR.,Blace,Brown,–,–,153,242,283,227,378,310,–,–,–,–,–,–,–,77,265.5
277,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/te8ovnb90l5s5xcuwyku",RB,RS JR.,Kerrith,Whyte Jr.,–,–,131,–,361,262,402,218,–,382,–,–,–,–,–,107,292.67
278,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jc4dcysblappuy93ihr2",IDL,RS SR.,Ricky,Walker,–,–,–,239,261,–,236,351,194,–,–,–,284,–,–,53.3,260.83
279,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103896.png,WR,RS JR.,Jazz,Ferguson,–,–,196,205,262,231,465,254,–,–,–,–,–,–,–,99.6,268.83
280,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103869.png,IDL,RS JR.,Kevin,Givens,–,–,174,291,330,235,400,305,–,–,–,–,237,–,–,73.9,281.71
281,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zxgvdvqvi70ixrpwivnm",S,SR.,Zedrick,Woods,–,–,–,257,263,248,319,342,–,–,–,–,231,–,–,43.7,276.67
282,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103769.png,WR,SR.,Olabisi,Johnson,–,–,–,–,406,224,433,179,–,273,–,–,233,–,–,104,291.33
283,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zrnqpg8yaahhacxa7c05",S,SR.,Delvon,Randall,–,–,–,–,236,356,297,374,202,–,–,–,195,–,–,77.6,276.67
284,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103802.png,OG,RS SR.,B.J.,Autry,–,–,–,–,441,175,245,269,–,–,–,–,200,–,–,104.5,266
285,https://a.espncdn.com/i/teamlogos/ncaa/500/56.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103814.png,TE,SR.,Donald,Parham,–,–,–,236,278,355,288,382,211,–,–,–,265,–,–,61.4,287.86
286,https://a.espncdn.com/i/teamlogos/ncaa/500/2448.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103888.png,ED,RS JR.,Darryl,Johnson Jr.,–,–,150,–,317,279,305,408,–,253,–,–,–,–,–,84.7,285.33
287,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103637.png,QB,RS SR.,Trace,McSorley,–,–,–,286,299,259,333,393,–,374,–,–,263,–,–,53,315.29
288,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/izsqbya4iub6j5aoxkwa",OG,RS SR.,Terronne,Prescod,–,–,65,–,454,–,224,377,140,–,–,–,–,–,–,161.8,252
289,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103655.png,S,SR.,Jonathan,Crawford,–,–,–,–,356,206,303,261,216,–,–,–,–,–,–,62.4,268.4
290,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103658.png,LB,RS SR.,Deshaun,Davis,–,–,–,223,371,225,356,440,–,321,–,–,242,–,–,83.9,311.14
291,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103695.png,LB,SR.,Khalil,Hodge,–,–,–,–,295,319,388,413,–,–,–,–,206,–,–,127,281.83
292,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103812.png,P,SR.,Jake,Bailey,–,–,–,–,235,329,299,268,–,412,–,–,–,–,–,67.6,308.6
293,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103811.png,K,SR.,Matt,Gay,–,–,–,–,221,328,249,332,–,412,–,–,–,–,–,75.6,308.4
294,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103652.png,RB,RS SR.,Qadree,Ollison,–,–,–,256,340,250,352,383,–,381,–,–,283,–,–,57,320.71
295,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/102266.png,WR,SR.,Cody,Thompson,–,–,–,151,418,327,486,277,–,209,–,–,292,–,–,115.3,308.57
296,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103904.png,LB,SR.,Dre,Greenlaw,–,–,–,261,438,213,414,248,–,238,–,–,–,–,–,97.6,302
297,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103690.png,RB,SR.,Ty,Johnson,–,–,–,232,300,293,298,406,–,384,–,–,–,–,–,64.6,318.83
298,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p7cwbsvjwofa23czwkqf",ED,SR.,Ronheen,Bingham,–,–,–,274,–,–,225,267,63,–,–,–,–,–,–,98.6,207.25
299,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p5h5x7w58uxad15yeche",LB,JR.,Tyrel,Dodson,–,–,–,285,384,272,339,307,178,–,–,–,–,–,–,69.7,294.17
300,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uvbzy9pvo0mjb1qhtr2n",WR,JR.,Olamide,Zaccheaus,–,–,–,259,442,–,191,213,–,–,–,–,274,–,–,98.8,275.8
301,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rybdlao2aqpjtad0afjh",OT,RS SR.,Oli,Udoh,–,–,–,234,–,–,–,156,–,190,–,–,171,–,–,33.8,187.75
302,https://a.espncdn.com/i/teamlogos/ncaa/500/70.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jf3tueapqfrnnvwinfki",LB,SR.,Kaden,Elliss,–,–,–,–,–,–,199,255,187,286,–,–,–,–,–,46.8,231.75
303,https://a.espncdn.com/i/teamlogos/ncaa/500/2449.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dzynubgwdfm3zgmc01eu",RB,SR.,Bruce,Anderson,–,–,–,229,238,–,260,469,–,–,–,–,199,–,–,108.4,279
304,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qhxm7gb4msufxxn06azy",LB,SR.,Cole,Holcomb,–,–,–,273,407,–,340,184,–,245,–,–,–,–,–,86.2,289.8
305,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103852.png,LB,JR.,Josiah,Tauaefa,–,–,–,209,225,218,449,360,–,–,–,–,–,–,–,107.4,292.2
306,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ya9z94rqgebqzqg1thug",ED,RS SR.,Gerri,Green,–,–,–,–,277,336,318,303,–,344,–,–,–,–,–,26.8,315.6
307,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fomxmcsatr2mwl9jjqr6",CB,SR.,Derrick,Baity,–,–,–,220,276,–,343,467,–,–,–,–,111,–,–,133.3,283.4
308,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,https://media.pff.com/player-photos/nfl/46676.png,OG,SR.,Deion,Calhoun,–,–,189,–,–,228,128,–,108,–,–,–,–,–,–,55.2,163.25
309,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103669.png,OT,SR.,Jackson,Barton,–,–,–,–,292,233,253,463,–,367,–,–,–,–,–,94.2,321.6
310,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103703.png,LB,SR.,Andrew,Van Ginkel,–,–,–,–,387,291,357,352,223,359,–,–,–,–,–,60.4,328.17
311,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103654.png,LB,SR.,Terez,Hall,–,–,–,–,280,162,441,247,–,–,–,–,–,–,–,116.8,282.5
312,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103877.png,WR,SR.,Johnnie,Dixon,–,–,–,233,226,313,444,437,–,–,–,–,225,–,–,104.2,313
313,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ms8itq3qekisdlaoufhr",WR,JR.,Alex,Wesley,–,–,–,–,289,269,422,154,–,–,–,–,–,–,–,109.8,283.5
314,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dtdya5jsxjrrpzv5viad",WR,SR.,Ashton,Dulin,–,–,193,–,396,–,324,434,–,–,–,–,96,–,–,141.6,288.6
315,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fotzi6famwuucmaplvsw",LB,SR.,Otaro,Alaka,–,–,–,267,271,249,385,339,–,–,–,–,–,–,–,57.6,302.2
316,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103675.png,OG,SR.,Fred,Johnson,–,–,133,–,–,302,243,296,–,–,–,–,–,–,–,78.3,243.5
317,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xui4kc4qetlupldpwakh",OG,SR.,Bunchy,Stallings,–,–,–,238,173,–,334,365,–,–,–,–,–,–,–,88.2,277.5
318,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103605.png,S,RS SR.,JoJo,McIntosh,–,–,–,237,–,283,337,396,230,–,–,–,281,–,–,63.1,294
319,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ai45i3ulhgoyyqhg4skq",OG,RS SR.,Joshua,Miles,–,–,–,–,–,–,159,234,–,247,–,–,–,–,–,47.5,213.33
320,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103771.png,OT,-,Olisaemeka,Udoh,–,–,–,–,216,193,133,–,–,–,–,–,–,–,–,42.9,180.67
321,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k0duh3otggwbrikwtujh",OT,SR.,Justin,Skule,–,–,–,–,493,–,273,318,180,415,–,–,–,–,–,122,335.8
322,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ckzfdiv1hlaggqdmbdva",LB,RS SR.,Drew,Lewis,–,–,–,–,333,–,244,178,–,–,–,–,–,–,–,77.8,251.67
323,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103709.png,FB,SR.,Alec,Ingold,–,–,–,–,302,342,250,299,–,–,–,–,–,–,–,37.7,298.25
324,https://a.espncdn.com/i/teamlogos/ncaa/500/2579.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103758.png,CB,SR.,Rashad,Fenton,–,–,–,–,293,252,379,430,–,327,–,–,–,–,–,70.1,336.2
325,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103659.png,S,RS SR.,D'Cota,Dixon,–,–,–,264,202,253,–,438,–,–,–,–,297,–,–,89.1,290.8
326,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gctruohgavkvybtmkwoi",OT,RS SR.,Donnell,Greene,–,–,–,136,–,–,242,249,–,–,–,–,–,–,–,63.3,209
327,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103619.png,ED,SR.,CeCe,Jefferson,–,–,–,–,282,264,359,409,–,–,–,–,289,–,–,61.2,320.6
328,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103873.png,CB,JR.,Clifton,Duck,–,–,–,282,311,298,417,435,–,–,–,–,246,–,–,76.6,331.5
329,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fvcqdvuxw2ye4soqccdq",IDL,RS JR.,P.J.,Johnson,–,–,–,–,201,–,470,294,–,342,–,–,–,–,–,112,326.75
330,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wfuyqhg6b9uhbmebrqd9",CB,SR.,Stephen,Denmark,–,–,–,–,–,–,186,258,–,274,–,–,–,–,–,46.9,239.33
331,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103760.png,OT,SR.,Chidi,Okeke,–,–,–,–,312,219,307,385,–,–,–,–,–,–,–,67.9,305.75
332,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rggn1pcx8k7tuvkbxiji",WR,SR.,Reggie,White Jr.,–,–,–,–,–,–,284,276,–,–,–,–,100,–,–,104,220
333,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pomgv8szijxytfddkj7f",C,SR.,Trevon,Tate,–,–,–,–,–,–,332,223,93,–,–,–,–,–,–,119.7,216
334,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103788.png,OG,SR.,Brandon,Knight,–,–,–,–,428,215,360,237,–,–,–,–,–,–,–,101.3,310
335,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y1obyjcszbyaushd8pnr",OG,SR.,Drew,Forbes,–,–,–,–,–,–,290,194,–,196,–,–,–,–,–,54.9,226.67
336,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mkvxeb6kehpqnht1mkt6",IDL,SR.,Marquise,Copeland,–,–,–,–,113,–,364,447,–,–,–,–,280,–,–,142.7,301
337,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103555.png,ED,SR.,Landis,Durham,–,–,–,–,304,247,394,306,–,–,–,–,–,–,–,60.7,312.75
338,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a3bj6kifugspfjxji8v1",TE,RS JR.,Keenen,Brown,–,–,–,–,404,285,–,311,235,–,–,–,288,–,–,62.1,304.6
339,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103787.png,ED,SR.,Corbin,Kaufusi,–,–,–,–,119,334,405,402,–,–,–,–,–,–,–,134.7,315
