rank,school,headshot,position,college_year,first_name,last_name,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,sbn,si,usa,walter,yahoo,std_dev,avg
91,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101697.png,CB,SR.,Duke,Dawson,–,–,99,84,70,78,90,183,141,–,86,74,88,35.5,99.3
92,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101573.png,RB,SR.,Royce,Freeman,–,59,145,67,90,179,139,73,161,–,95,89,82,41.2,107.18
93,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101778.png,CB,JR.,Holton,Hill,–,41,67,101,74,102,133,209,103,–,150,–,78,48.2,105.8
94,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101732.png,OG,RS SR.,Wyatt,Teller,–,130,83,80,137,115,105,53,126,–,125,–,102,26.7,105.6
95,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101671.png,S,SR.,Armani,Watts,–,98,97,174,154,82,61,132,125,58,57,–,175,44.7,110.27
96,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101667.png,CB,SR.,Anthony,Averett,50,–,–,73,84,148,96,158,134,62,117,71,126,36.8,101.73
97,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101785.png,CB,JR.,Nick,Nelson,–,–,–,129,85,105,120,52,86,100,141,51,137,32.4,100.6
98,0,https://a.espncdn.com/i/headshots/nfldraft/players/full/101713.png,OT,SR.,Desmond,Harrison,–,119,116,71,103,94,82,175,180,77,140,95,119,35.6,114.25
99,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101722.png,IDL,SR.,B.J.,Hill,–,89,–,91,58,155,134,88,88,–,103,–,106,28.4,101.33
100,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101651.png,ED,SR.,Chad,Thomas,–,77,–,155,162,88,104,93,127,90,97,73,149,32.2,110.45
101,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101848.png,ED,JR.,Jeff,Holland,–,67,138,120,156,–,131,133,107,80,92,66,127,30.5,110.64
102,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101794.png,WR,RS JR.,Tre'Quan,Smith,–,58,129,93,86,186,109,94,151,94,191,–,108,42.1,118.09
103,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101790.png,RB,JR.,Nyheim,Hines,–,135,140,94,112,132,132,83,105,–,116,–,121,18.8,117
104,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101569.png,LB,RS SR.,Josey,Jewell,–,–,–,69,91,92,190,75,83,–,145,–,60,44.3,100.63
105,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101683.png,S,SR.,Marcus,Allen,–,137,–,146,113,65,153,120,85,–,28,–,147,42.9,110.44
106,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101742.png,RB,SR.,Jaylen,Samuels,–,112,103,169,171,150,167,171,63,95,100,72,101,40.3,122.83
107,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101691.png,LB,RS SR.,Shaquem,Griffin,–,–,128,138,174,90,195,87,91,98,44,–,98,44.9,114.3
108,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101600.png,RB,JR.,Mark,Walton,–,100,121,112,97,112,160,124,122,–,135,–,109,18.3,119.2
109,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101804.png,LB,SR.,Dorian,O'Daniel,–,31,88,142,149,61,118,109,–,–,112,–,166,43.1,108.44
110,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101705.png,CB,JR.,Quenton,Meeks,–,92,102,51,213,147,239,126,110,–,63,–,66,63,120.9
111,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101735.png,QB,RS SR.,Kyle,Lauletta,–,109,74,127,66,91,243,47,197,–,154,–,118,61,122.6
112,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101833.png,WR,SR.,Cedrick,Wilson,–,99,132,136,134,97,155,64,186,–,137,–,114,33.9,125.4
113,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101842.png,IDL,JR.,RJ,McIntosh,–,80,–,109,115,127,176,111,148,–,111,70,174,35.4,122.1
114,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101583.png,RB,SR.,Kalen,Ballage,–,82,119,75,121,165,216,119,163,–,130,78,157,43.4,129.55
115,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101711.png,IDL,RS SR.,Deadrin,Senat,–,–,–,139,77,59,110,163,131,–,98,–,115,33.7,111.5
116,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101847.png,S,RS JR.,Terrell,Edmunds,–,–,141,99,81,136,142,196,132,–,161,30,128,45.6,124.6
117,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/daxqb7dk9prm4agrq1cs",CB,JR.,D.J.,Reed,–,87,130,163,155,75,114,154,169,–,108,–,129,32.3,128.4
118,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101852.png,CB,RS JR.,Rashaan,Gaulden,–,121,–,122,111,133,138,203,61,91,124,–,154,37.5,125.8
119,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101777.png,RB,JR.,John,Kelly,–,–,71,170,159,68,125,144,101,–,146,–,136,36.8,124.44
120,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101716.png,IDL,SR.,Andrew,Brown,–,–,57,108,127,196,150,165,115,–,118,83,170,42.1,128.9
