Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
149,33526,00-0033526,NFL,PER095343,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ur3jv6biq0pefkrgpzty,Samaje Perine,Samaje Perine,RB,Kansas City Chiefs,KC,2310,2310,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#E31837,AFC,6.1%,17,202,35,28,17,
150,39890,00-0039890,NFL,MIT056120,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sxrisbkwnsfhfglpohn1,Adonai Mitchell,Adonai Mitchell,WR,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,11.2%,17,206,55,23,17,
151,35689,00-0035689,NFL,KNO490795,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mswln16dmfhi7m7pzh7q,Dawson Knox,Dawson Knox,TE,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,6.7%,16,295,33,22,16,
152,37228,00-0037228,NFL,WAR659612,https://static.www.nfl.com/image/upload/{formatInstructions}/league/aaw4yacm6azisxqy273i,Jaylen Warren,Jaylen Warren,RB,Pittsburgh Steelers,PIT,3900,3900,3900,PIT,Steelers,ACT,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,10.2%,15,213,47,38,15,
153,33897,00-0033897,NFL,MIX564388,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gwyhozfhjgedwdmmjjcf,Joe Mixon,Joe Mixon,RB,Houston Texans,HOU,2120,2120,2120,HOU,Texans,RSN,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,9.5%,14,236,52,36,14,
154,36626,00-0036626,NFL,BRO408220,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mibh7ud59ygmzm19ivac,Dyami Brown,Dyami Brown,WR,Washington Commanders,WAS,5110,5110,2250,JAX,Jaguars,ACT,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#5A1414,NFC,7.9%,16,257,40,30,16,
155,33307,00-0033307,NFL,BOU434790,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mkciutibcbq7phnplozn,Kendrick Bourne,Kendrick Bourne,WR,New England Patriots,NE,3200,3200,3200,NE,Patriots,CUT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,7.6%,12,285,38,28,12,
156,38134,00-0038134,NFL,WAL391813,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ielqdthtspzi0ufvs4tw,Kenneth Walker III,Kenneth Walker III,RB,Seattle Seahawks,SEA,4600,4600,4600,SEA,Seahawks,ACT,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,9.3%,11,224,53,46,11,
157,33536,00-0033536,NFL,WIL000009,https://static.www.nfl.com/image/upload/{formatInstructions}/league/atprqcuqsl4spdak76fy,Mike Williams,Mike Williams,WR,Pittsburgh Steelers,PIT,3900,3900,4400,LAC,Chargers,NWT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#000000,AFC,6.0%,18,341,34,21,18,
157,37086,00-0037086,NFL,CAL069215,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xzfqqlmavruytirlmg3n,Grant Calcaterra,Grant Calcaterra,TE,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,7.2%,17,284,30,24,17,
159,36244,00-0036244,NFL,PAR483746,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b1qzivnz0zqa8cjgah8r,Colby Parkinson,Colby Parkinson,TE,Los Angeles Rams,LA,2510,2510,2510,LAR,Rams,ACT,2510,LAR,Rams,Los Angeles,Los Angeles Rams,,,,,#003594,NFC,9.1%,17,298,49,30,17,
159,34972,00-0034972,NFL,MAT599622,https://static.www.nfl.com/image/upload/{formatInstructions}/league/guwnr4avn25qtpsgmil6,Alexander Mattison,Alexander Mattison,RB,Las Vegas Raiders,LV,2520,2520,2700,MIA,Dolphins,RES,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#000000,AFC,8.1%,14,217,48,36,14,
161,35406,00-0035406,NFL,HUM534685,https://static.www.nfl.com/image/upload/{formatInstructions}/league/n83el0rguze0nukvitdw,Lil'Jordan Humphrey,Lil'Jordan Humphrey,WR,Denver Broncos,DEN,1400,1400,3410,NYG,Giants,DEV,3410,NYG,Giants,New York,New York Giants,,,,,#FC4C02,AFC,8.2%,17,289,45,31,17,
161,39751,00-0039751,NFL,WHI807684,https://static.www.nfl.com/image/upload/{formatInstructions}/league/w5h5q9jwyaimdjlnracx,Jordan Whittington,Jordan Whittington,WR,Los Angeles Rams,LA,2510,2510,2510,LAR,Rams,ACT,2510,LAR,Rams,Los Angeles,Los Angeles Rams,,,,,#003594,NFC,5.2%,15,117,28,22,15,
163,36427,00-0036427,NFL,JOH711094,https://static.www.nfl.com/image/upload/{formatInstructions}/league/s6fg2hapxwa9efbrygxf,Tyler Johnson,Tyler Johnson,WR,Los Angeles Rams,LA,2510,2510,3430,NYJ,Jets,DEV,3430,NYJ,Jets,New York,New York Jets,,,,,#003594,NFC,7.6%,15,199,41,26,15,
164,34386,00-0034386,NFL,WAT441238,https://static.www.nfl.com/image/upload/{formatInstructions}/league/unqrnkfpqg7juhlbyp4v,Justin Watson,Justin Watson,WR,Kansas City Chiefs,KC,2310,2310,2120,HOU,Texans,ACT,2120,HOU,Texans,Houston,Houston Texans,,,,,#E31837,AFC,5.6%,17,396,32,22,17,
165,39067,00-0039067,NFL,RIC152916,https://static.www.nfl.com/image/upload/{formatInstructions}/league/iy0uidp9wokc6a7u8lwq,Rashee Rice,Rashee Rice,WR,Kansas City Chiefs,KC,2310,2310,2310,KC,Chiefs,SUS,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,5.1%,4,88,29,24,4,
166,35537,00-0035537,NFL,JOH000019,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hmnzcfm56ojey6myomjg,Ty Johnson,Ty Johnson,RB,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,5.1%,17,191,25,18,17,
166,39384,00-0039384,NFL,TRA116277,https://static.www.nfl.com/image/upload/{formatInstructions}/league/b9nje50lohbprf06xoom,Tyrone Tracy Jr.,Tyrone Tracy Jr.,RB,New York Giants,NYG,3410,3410,3410,NYG,Giants,ACT,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,9.6%,17,305,53,38,17,
168,36893,00-0036893,NFL,HAR493163,https://static.www.nfl.com/image/upload/{formatInstructions}/league/grfxgbvqnzz40r7rdtvk,Najee Harris,Najee Harris,RB,Pittsburgh Steelers,PIT,3900,3900,4400,LAC,Chargers,ACT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#000000,AFC,10.4%,17,220,48,36,17,
169,34844,00-0034844,NFL,BAR192674,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ern1nbhivkmwkg82c7v1,Saquon Barkley,Saquon Barkley,RB,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,10.3%,16,292,43,33,16,
170,36415,00-0036415,NFL,JEF436716,https://static.www.nfl.com/image/upload/{formatInstructions}/league/aavlanyckqnsej61ulir,Van Jefferson,Van Jefferson,WR,Pittsburgh Steelers,PIT,3900,3900,2100,TEN,Titans,ACT,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#000000,AFC,8.7%,17,379,40,24,17,
171,39868,00-0039868,NFL,FRA545210,https://static.www.nfl.com/image/upload/{formatInstructions}/league/belpdlyoda8cmzbvjkqh,Troy Franklin,Troy Franklin,WR,Denver Broncos,DEN,1400,1400,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#FC4C02,AFC,9.7%,16,265,53,28,16,
172,32104,00-0032104,NFL,ABD647726,https://static.www.nfl.com/image/upload/{formatInstructions}/league/atwi5p12mlgnsl4y8cgt,Ameer Abdullah,Ameer Abdullah,RB,Las Vegas Raiders,LV,2520,2520,4500,SF,49ers,CUT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#000000,AFC,7.9%,16,258,47,40,16,
173,31236,00-0031236,NFL,COO299382,https://static.www.nfl.com/image/upload/{formatInstructions}/league/krz3gv9jjs92arlctvqf,Brandin Cooks,Brandin Cooks,WR,Dallas Cowboys,DAL,1200,1200,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#002244,NFC,8.7%,10,288,54,26,10,
174,35249,00-0035249,NFL,OLI524360,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pfvhbfguzu6wv9ikluop,Josh Oliver,Josh Oliver,TE,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,ACT,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,5.4%,15,184,28,22,15,
174,37248,00-0037248,NFL,COO151970,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bzdvrarxum9zate4te4b,James Cook,James Cook,RB,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,7.7%,16,221,38,32,16,
176,36973,00-0036973,NFL,ETI426541,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gc0iljgj34piecyfueyd,Travis Etienne,Travis Etienne,RB,Jacksonville Jaguars,JAX,2250,2250,2250,JAX,Jaguars,ACT,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,10.0%,15,253,52,39,15,
176,37614,00-0037614,NFL,MET373452,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rry6syvecvbzcw3zsgzb,John Metchie III,John Metchie III,WR,Houston Texans,HOU,2120,2120,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#021018,AFC,6.8%,13,241,37,24,13,
178,33282,00-0033282,NFL,SAM633285,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vyibrxegz375ntjby5zs,Curtis Samuel,Curtis Samuel,WR,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,9.3%,14,225,46,31,14,
179,36139,00-0036139,NFL,DOW329751,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cvnrzndsiaojvvxz8vo5,Rico Dowdle,Rico Dowdle,RB,Dallas Cowboys,DAL,1200,1200,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#002244,NFC,7.9%,16,280,49,39,16,
180,38589,00-0038589,NFL,WHY207645,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hkwfi7wsircfp0fbjbza,Josh Whyle,Josh Whyle,TE,Tennessee Titans,TEN,2100,2100,1800,GB,Packers,DEV,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#002244,AFC,7.3%,17,174,37,28,17,
181,39793,00-0039793,NFL,BAR235889,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yyn7bdqscmqpblg8bfib,AJ Barner,AJ Barner,TE,Seattle Seahawks,SEA,4600,4600,4600,SEA,Seahawks,ACT,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#002244,NFC,6.7%,17,216,38,30,17,
182,38547,00-0038547,NFL,SCH471986,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mjaidpltef1ctqwrk5o5,Luke Schoonmaker,Luke Schoonmaker,TE,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,5.8%,17,179,36,27,17,
183,36196,00-0036196,NFL,DAV329675,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rlmgjtfct5qjtbwcjqg6,Gabe Davis,Gabe Davis,WR,Jacksonville Jaguars,JAX,2250,2250,,,,NOR,2250,JAX,Jaguars,Jacksonville,Jacksonville Jaguars,,,,,#000000,AFC,8.0%,10,250,42,20,10,
184,35261,00-0035261,NFL,POL283188,https://static.www.nfl.com/image/upload/{formatInstructions}/league/dvpdczetkdhrqpm8izmd,Tony Pollard,Tony Pollard,RB,Tennessee Titans,TEN,2100,2100,2100,TEN,Titans,ACT,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,11.2%,16,298,57,41,16,
185,37005,00-0037005,NFL,TRE718453,https://static.www.nfl.com/image/upload/{formatInstructions}/league/j0atbeflgj05pldxfon6,Tommy Tremble,Tommy Tremble,TE,Carolina Panthers,CAR,750,750,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,6.2%,12,263,32,23,12,
186,33857,00-0033857,NFL,SMI829709,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fmjrhk2zt9z22uifctv0,JuJu Smith-Schuster,JuJu Smith-Schuster,WR,Kansas City Chiefs,KC,2310,2310,2310,KC,Chiefs,ACT,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,4.5%,14,257,26,18,14,
186,31549,00-0031549,NFL,AGH474619,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wyxfkarcjgqdz3pl8nnr,Nelson Agholor,Nelson Agholor,WR,Baltimore Ravens,BAL,325,325,,,,NOR,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,6.3%,14,206,29,14,14,
188,37267,00-0037267,NFL,FOR234027,https://static.www.nfl.com/image/private/{formatInstructions}/league/djggmwo5v8osoboiseo2,Jerome Ford,Jerome Ford,RB,Cleveland Browns,CLE,1050,1050,1050,CLE,Browns,ACT,1050,CLE,Browns,Cleveland,Cleveland Browns,,,,,#FF3C00,AFC,6.8%,14,303,43,37,14,
189,39032,00-0039032,NFL,SPE113961,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fc7vhbtw80einad9hsfu,Tyjae Spears,Tyjae Spears,RB,Tennessee Titans,TEN,2100,2100,2100,TEN,Titans,RSR,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,AFC,6.9%,12,167,35,30,12,
190,39880,00-0039880,NFL,WAS519225,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ileu04mtomoedq7qevhd,Malik Washington,Malik Washington,WR,Miami Dolphins,MIA,2700,2700,2700,MIA,Dolphins,ACT,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,6.3%,14,252,36,26,14,
191,37741,00-0037741,NFL,DOT282798,https://static.www.nfl.com/image/upload/{formatInstructions}/league/dbtou5ln1kwjutixywie,Jahan Dotson,Jahan Dotson,WR,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,7.9%,17,401,33,19,17,
192,32464,00-0032464,NFL,RAY748263,https://static.www.nfl.com/image/upload/{formatInstructions}/league/e5z8bskwg89hqtsjwwgj,Kalif Raymond,Kalif Raymond,WR,Detroit Lions,DET,1540,1540,1540,DET,Lions,ACT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,4.2%,12,128,22,17,12,
193,34418,00-0034418,NFL,WIL656498,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rqgvxell9cu8rnowhomj,Cedrick Wilson Jr.,Cedrick Wilson Jr.,WR,New Orleans Saints,NO,3300,3300,3300,NO,Saints,DEV,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,5.2%,15,200,27,20,15,
194,37475,00-0037475,NFL,SMA808525,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fdmnvrjgz8cqnxjtukzd,Stone Smartt,Stone Smartt,TE,Los Angeles Chargers,LAC,4400,4400,3430,NYJ,Jets,ACT,3430,NYJ,Jets,New York,New York Jets,,,,,#0080C6,AFC,3.9%,15,116,19,16,15,
195,36328,00-0036328,NFL,GIB415285,https://static.www.nfl.com/image/upload/{formatInstructions}/league/j7ixpkm7u4tdoqwzmbt4,Antonio Gibson,Antonio Gibson,RB,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,5.8%,17,160,29,23,17,
196,30431,00-0030431,NFL,WOO561144,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ydjg5fylwkf5aaxiul6v,Robert Woods,Robert Woods,WR,Houston Texans,HOU,2120,2120,3900,PIT,Steelers,DEV,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#021018,AFC,5.5%,15,192,30,20,15,
197,29892,00-0029892,NFL,JUS812736,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qflumv1aag7yw9mgwpga,Kyle Juszczyk,Kyle Juszczyk,FB,San Francisco 49ers,SF,4500,4500,4500,SF,49ers,ACT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,6.0%,17,240,31,19,17,
197,38558,00-0038558,NFL,WAS185860,https://static.www.nfl.com/image/upload/{formatInstructions}/league/i6bxioxqzrc9hepszyjf,Darnell Washington,Darnell Washington,TE,Pittsburgh Steelers,PIT,3900,3900,3900,PIT,Steelers,ACT,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,5.4%,17,154,25,19,17,
199,33854,00-0033854,NFL,OGU417955,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bsm0k0jkytuiej2riudv,Dare Ogunbowale,Dare Ogunbowale,RB,Houston Texans,HOU,2120,2120,2120,HOU,Texans,ACT,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,5.1%,17,189,28,19,17,
200,33943,00-0033943,NFL,REY398905,https://static.www.nfl.com/image/upload/{formatInstructions}/league/lf1fjsagcsvxmktl0bbn,Josh Reynolds,Josh Reynolds,WR,Jacksonville Jaguars,JAX,2250,2250,3430,NYJ,Jets,ACT,3430,NYJ,Jets,New York,New York Jets,,,,,#000000,AFC,4.2%,9,208,24,13,9,
201,32764,00-0032764,NFL,HEN602843,https://static.www.nfl.com/image/upload/{formatInstructions}/league/jxtikemnvpkw9r0ex2wv,Derrick Henry,Derrick Henry,RB,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,4.8%,17,177,22,19,17,
201,36630,00-0036630,NFL,WAL505238,https://static.www.nfl.com/image/upload/{formatInstructions}/league/rifnnpeub6okv41offnd,Tylan Wallace,Tylan Wallace,WR,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,2.6%,17,107,12,11,17,
203,39875,00-0039875,NFL,DAV632804,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pm9llppbueodtjjj9u8l,Ray Davis,Ray Davis,RB,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,3.8%,17,100,19,17,17,
204,36422,00-0036422,NFL,TRA447732,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ck9dspk0ykijetdshyn4,Adam Trautman,Adam Trautman,TE,Denver Broncos,DEN,1400,1400,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#FC4C02,AFC,4.0%,17,184,22,13,17,
205,36251,00-0036251,NFL,MOS756406,https://static.www.nfl.com/image/upload/{formatInstructions}/league/i9bcnhxtpc9zoypcldb4,Zack Moss,Zack Moss,RB,Cincinnati Bengals,CIN,920,920,,,,NOR,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,4.3%,8,154,27,23,8,
205,33357,00-0033357,NFL,HIL609597,https://static.www.nfl.com/image/upload/{formatInstructions}/league/q8itjlocg5do60qat4l3,Taysom Hill,Taysom Hill,TE,New Orleans Saints,NO,3300,3300,3300,NO,Saints,PUP,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#000000,NFC,6.0%,8,108,31,23,8,
207,36876,00-0036876,NFL,GRA367521,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ysbxmdw4da30q3kjb571,Kylen Granson,Kylen Granson,TE,Indianapolis Colts,IND,2200,2200,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#013369,AFC,6.3%,17,243,31,14,17,
207,37840,00-0037840,NFL,WIL415359,https://static.www.nfl.com/image/upload/{formatInstructions}/league/smsyrjrwy0lf0hu9hkvg,Kyren Williams,Kyren Williams,RB,Los Angeles Rams,LA,2510,2510,2510,LAR,Rams,ACT,2510,LAR,Rams,Los Angeles,Los Angeles Rams,,,,,#003594,NFC,7.4%,16,350,40,34,16,
209,38640,00-0038640,NFL,BRO124672,https://static.www.nfl.com/image/upload/{formatInstructions}/league/drpljzij7e0e9ojwf0cq,Jalen Brooks,Jalen Brooks,WR,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,DEV,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,4.8%,14,216,30,12,14,
210,33923,00-0033923,NFL,HUN308934,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hktvzf8hiupoycyg1kmc,Kareem Hunt,Kareem Hunt,RB,Kansas City Chiefs,KC,2310,2310,2310,KC,Chiefs,ACT,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,5.6%,13,212,32,23,13,
211,39041,00-0039041,NFL,HIG138430,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yjvdxmqromyt64w89bhq,Elijah Higgins,Elijah Higgins,TE,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,4.6%,17,171,24,20,17,
211,39052,00-0039052,NFL,PAL683280,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yidnqfjzr8paeyyqswen,Trey Palmer,Trey Palmer,WR,Tampa Bay Buccaneers,TB,4900,4900,3300,NO,Saints,ACT,3300,NO,Saints,New Orleans,New Orleans Saints,,,,,#A71930,NFC,3.9%,15,177,22,12,15,
213,36555,00-0036555,NFL,HUB179324,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pjgml85ghq7oa48dctn7,Chuba Hubbard,Chuba Hubbard,RB,Carolina Panthers,CAR,750,750,750,CAR,Panthers,ACT,750,CAR,Panthers,Carolina,Carolina Panthers,,,,,#0085CF,NFC,10.4%,15,334,54,43,15,
214,36875,00-0036875,NFL,STE703131,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ed09migntlyy8ntgvcu1,Rhamondre Stevenson,Rhamondre Stevenson,RB,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,8.2%,15,270,41,33,15,
214,39355,00-0039355,NFL,MCC038410,https://static.www.nfl.com/image/upload/{formatInstructions}/league/iqzscuxu9lxjfhoyxsjg,Luke McCaffrey,Luke McCaffrey,WR,Washington Commanders,WAS,5110,5110,5110,WAS,Commanders,ACT,5110,WAS,Commanders,Washington,Washington Commanders,,,,,#5A1414,NFC,4.8%,17,246,24,18,17,
216,39062,00-0039062,NFL,MIN170999,https://static.www.nfl.com/image/upload/{formatInstructions}/league/adaubthdtcqe2ez7dw9w,Jonathan Mingo,Jonathan Mingo,WR,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,RSR,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,7.2%,17,266,42,17,17,
217,31687,00-0031687,NFL,MOS822492,https://static.www.nfl.com/image/upload/{formatInstructions}/league/fas5rkweusx2hl7abtzh,Raheem Mostert,Raheem Mostert,RB,Miami Dolphins,MIA,2700,2700,2520,LV,Raiders,ACT,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#008E97,AFC,4.0%,13,149,23,19,13,
218,37746,00-0037746,NFL,ROB736177,https://static.www.nfl.com/image/private/{formatInstructions}/league/gxcfbuvmooytbn45kvxf,Brian Robinson,Brian Robinson,RB,Washington Commanders,WAS,5110,5110,4500,SF,49ers,ACT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#5A1414,NFC,5.0%,14,185,25,20,14,
219,36527,00-0036527,NFL,TUR283150,https://static.www.nfl.com/image/upload/{formatInstructions}/league/os5eurhh1y45sixa8phl,D.J. Turner,D.J. Turner,WR,Las Vegas Raiders,LV,2520,2520,,,,NOR,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#000000,AFC,4.9%,12,238,29,16,12,
219,39814,00-0039814,NFL,ALL004828,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ifkhcxze7lnxkpzjvsmk,Erick All,Erick All,TE,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,PUP,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,3.5%,9,106,22,20,9,
221,39066,00-0039066,NFL,MAY330676,https://static.www.nfl.com/image/upload/{formatInstructions}/league/crb4nzumiww6ftxcyiqm,Michael Mayer,Michael Mayer,TE,Las Vegas Raiders,LV,2520,2520,2520,LV,Raiders,ACT,2520,LV,Raiders,Las Vegas,Las Vegas Raiders,,,,,#000000,AFC,5.4%,11,232,32,21,11,
222,34613,00-0034613,NFL,HUD753368,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xe86peg3bxumjzfmtait,Tanner Hudson,Tanner Hudson,TE,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,3.7%,11,79,23,19,11,
223,36158,00-0036158,NFL,DOB207645,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cevotvl3ho5h1mioruyg,J.K. Dobbins,J.K. Dobbins,RB,Los Angeles Chargers,LAC,4400,4400,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#0080C6,AFC,7.7%,13,211,38,32,13,
224,37539,00-0037539,NFL,KRU507134,https://static.www.nfl.com/image/upload/{formatInstructions}/league/eolvpkk5jjmipuqmf5v6,Lucas Krull,Lucas Krull,TE,Denver Broncos,DEN,1400,1400,1400,DEN,Broncos,ACT,1400,DEN,Broncos,Denver,Denver Broncos,,,,,#FC4C02,AFC,4.2%,13,217,23,19,13,
224,39363,00-0039363,NFL,GUE547677,https://static.www.nfl.com/image/upload/{formatInstructions}/league/lr1qp5tsa5xshzt02urm,Isaac Guerendo,Isaac Guerendo,RB,San Francisco 49ers,SF,4500,4500,4500,SF,49ers,ACT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,3.1%,16,103,16,15,16,
