Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
27,39075,00-0039075,NFL,NAC559347,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zvi4hdm6fywcekfe7ceb,Puka Nacua,Puka Nacua,WR,Los Angeles Rams,LA,2510,2510,2510,LAR,Rams,ACT,2510,LAR,Rams,Los Angeles,Los Angeles Rams,,,,,#003594,NFC,19.6%,11,277,106,79,11,
28,36259,00-0036259,NFL,JEN497457,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cdx9mq3iglzog9mkqvdr,Jauan Jennings,Jauan Jennings,WR,San Francisco 49ers,SF,4500,4500,4500,SF,49ers,ACT,4500,SF,49ers,San Francisco,San Francisco 49ers,,,,,#AA0000,NFC,22.0%,15,426,113,77,15,
29,34827,00-0034827,NFL,MOO272423,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qphturmeiifnqrnf5pax,DJ Moore,DJ Moore,WR,Chicago Bears,CHI,810,810,810,CHI,Bears,ACT,810,CHI,Bears,Chicago,Chicago Bears,,,,,#0B162A,NFC,26.6%,17,665,140,98,17,
30,33040,00-0033040,NFL,HIL628694,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pjhpyrm4ocx5lsdynqpg,Tyreek Hill,Tyreek Hill,WR,Miami Dolphins,MIA,2700,2700,2700,MIA,Dolphins,ACT,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,21.7%,17,535,123,81,17,
31,36410,00-0036410,NFL,HIG387791,https://static.www.nfl.com/image/upload/{formatInstructions}/league/flr9f8oqigbyroeaubxb,Tee Higgins,Tee Higgins,WR,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,17.4%,12,442,109,73,12,
32,37247,00-0037247,NFL,PIC576156,https://static.www.nfl.com/image/upload/{formatInstructions}/league/cbpyykoguf7rsxezqzvk,George Pickens,George Pickens,WR,Pittsburgh Steelers,PIT,3900,3900,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#000000,AFC,22.4%,14,434,103,59,14,
33,39849,00-0039849,NFL,HAR648677,https://static.www.nfl.com/image/upload/{formatInstructions}/league/hwpoo1icpnh8emjvqaii,Marvin Harrison Jr.,Marvin Harrison Jr.,WR,Arizona Cardinals,ARI,3800,3800,3800,ARI,Cardinals,ACT,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,22.2%,17,540,116,62,17,
34,33858,00-0033858,NFL,SMI443054,https://static.www.nfl.com/image/upload/{formatInstructions}/league/p8uldtljkzb6sile3wgx,Jonnu Smith,Jonnu Smith,TE,Miami Dolphins,MIA,2700,2700,3900,PIT,Steelers,ACT,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#008E97,AFC,19.5%,17,451,111,88,17,
35,38994,00-0038994,NFL,ADD491056,https://static.www.nfl.com/image/upload/{formatInstructions}/league/s2ey8g5memyqvxc52uzy,Jordan Addison,Jordan Addison,WR,Minnesota Vikings,MIN,3000,3000,3000,MIN,Vikings,SUS,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#4F2683,NFC,19.1%,15,504,99,63,15,
36,39146,00-0039146,NFL,REE263142,https://static.www.nfl.com/image/upload/{formatInstructions}/league/blh2tfg9qjthqo2g6ot4,Jayden Reed,Jayden Reed,WR,Green Bay Packers,GB,1800,1800,1800,GB,Packers,ACT,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#203731,NFC,16.2%,17,385,75,55,17,
