player,pos,team_2024,team_2025,type,snaps,age,current_apy,guarantees,team_abbr_24,team_abbr_25
Marquise Brown,WR,Chiefs,Chiefs,Signed,0.039,28,7000000,7000000,KC,KC
Jerome Baker,LB,Titans,Browns,Signed,0.517,29,1422500,1422500,TEN,CLE
Raekwon Davis,IDL,Colts,,SFA,0.302,28,7000000,7000000,IND,NA
DeMarcus Walker,IDL,Bears,,SFA,0.6920000000000001,31,7000000,7000000,CHI,NA
Stephon Gilmore,CB,Vikings,,UFA,0.665,35,7000000,7000000,MIN,NA
Rasul Douglas,CB,Bills,,UFA,0.752,31,7000000,7000000,BUF,NA
Tyrann Mathieu,S,Saints,Saints,Signed,0.862,33,4000000,4000000,NO,NO
Tyler Conklin,TE,Jets,Chargers,Signed,0.7509999999999999,30,3000000,3000000,NYJ,LAC
Joseph Noteboom,LT,Rams,,UFA,0.20199999999999999,30,6750000,6750000,LAR,NA
Ja'Whaun Bentley,LB,Patriots,,SFA,0.055,29,6750000,6750000,NE,NA
T.J. Edwards,LB,Bears,Bears,Extension,0.988,29,10000000,10000000,CHI,CHI
Marcus Davenport,EDGE,Lions,Lions,Signed,0.081,29,2500000,2500000,DET,DET
Shy Tuttle,IDL,Panthers,Panthers,Signed,0.501,30,3000000,3000000,CAR,CAR
Bobby Wagner,LB,Commanders,Commanders,Signed,0.99,35,9000000,9000000,WAS,WAS
Tyron Smith,LT,Jets,,UFA,0.552,35,6500000,6500000,NYJ,NA
David Andrews,C,Patriots,,SFA,0.177,33,6500000,6500000,NE,NA
Miles Sanders,RB,Panthers,Cowboys,Signed,0.215,28,1337500,1337500,CAR,DAL
Darius Slayton,WR,Giants,Giants,Signed,0.775,28,12000000,12000000,NYG,NYG
Juwan Johnson,TE,Saints,Saints,Signed,0.6409999999999999,29,10250000,10250000,NO,NO
Marcus Mariota,QB,Commanders,Commanders,Signed,0.086,32,8000000,8000000,WAS,WAS
Gerald Everett,TE,Bears,,SFA,0.217,31,6000000,6000000,CHI,NA
Cole Holcomb,LB,Steelers,Steelers,Signed,0,29,2000000,2000000,PIT,PIT
Marcus Epps,S,Raiders,Patriots,Signed,0.158,29,2025000,2025000,LV,NE
Donte Jackson,CB,Steelers,Chargers,Signed,0.7140000000000001,30,6500000,6500000,PIT,LAC
Kevin Zeitler,RG,Lions,Titans,Signed,0.914,35,9000000,9000000,DET,TEN
Mike Hilton,CB,Bengals,,UFA,0.649,31,6000000,6000000,CIN,NA
Rayshawn Jenkins,S,Seahawks,,SFA,0.486,31,6000000,6000000,SEA,NA
Mo Alie-Cox,TE,Colts,Colts,Signed,0.43700000000000006,32,2200000,2200000,IND,IND
Matt Gay,K,Colts,Commanders,Signed,0.316,31,0,0,IND,WAS
Deatrich Wise,EDGE,Patriots,Commanders,Signed,0.365,31,3250000,3250000,NE,WAS
Jaycee Horn,CB,Panthers,Panthers,Extension,0.851,26,25000000,25000000,CAR,CAR
Kalif Raymond,WR,Lions,Lions,Signed,0.184,31,4000000,4000000,DET,DET
Mitch Morse,C,Jaguars,,SFA,0.988,33,5250000,5250000,JAX,NA
Patrick Mekari,RG,Ravens,Jaguars,Signed,0.899,28,12500000,12500000,BAL,JAX
Folorunso Fatukasi,IDL,Texans,,UFA,0.281,30,5125000,5125000,HOU,NA
De'Vondre Campbell,LB,49ers,,UFA,0.674,32,5000000,5000000,SF,NA
D.J. Humphries,LT,Chiefs,,UFA,0.08,32,5000000,5000000,KC,NA
Andy Dalton,QB,Panthers,Panthers,Signed,0.294,38,4000000,4000000,CAR,CAR
Anthony Nelson,EDGE,Buccaneers,Buccaneers,Signed,0.513,28,5000000,5000000,TB,TB
Kyzir White,LB,Cardinals,,UFA,0.937,29,5000000,5000000,ARI,NA
Isaiah Simmons,LB,Giants,Packers,Signed,0.165,27,0,0,NYG,GB
Jarrett Stidham,QB,Broncos,Broncos,Signed,0.013000000000000001,29,6000000,6000000,DEN,DEN
Morgan Moses,RT,Jets,Patriots,Signed,0.674,34,8000000,8000000,NYJ,NE
Xavier Woods,S,Panthers,Titans,Signed,1,30,4000000,4000000,CAR,TEN
Drew Lock,QB,Giants,Seahawks,Signed,0.285,29,2500000,2500000,NYG,SEA
Nathan Shepherd,IDL,Saints,Saints,Signed,0.48200000000000004,32,4260000,4260000,NO,NO
Jedrick Wills,LT,Browns,,UFA,0.20800000000000002,26,4925729,4925729,CLE,NA
Alaric Jackson,LT,Rams,Rams,Signed,0.82,27,19250000,19250000,LAR,LAR
Trent Brown,RT,Bengals,Texans,Signed,0.122,32,2350000,2350000,CIN,HOU
Jeff Okudah,CB,Texans,Vikings,Signed,0.07,26,2350000,2350000,HOU,MIN
Justin Fields,QB,Steelers,Jets,Signed,0.361,26,20000000,20000000,PIT,NYJ
George Fant,LT,Seahawks,,SFA,0.027000000000000003,33,4550000,4550000,SEA,NA
