season,player_name,pos,school,ht,wt,forty,vertical,bench,broad_jump,cone,shuttle,draft_team,draft_year,draft_year,draft_ovr
2025,Azareye'h Thomas,CB,Florida St.,2-Jun,197,,,,122,,,,,,
2025,Jay Toia,DT,UCLA,2-Jun,342,,,,,,,,,,
2025,Ozzy Trapilo,OT,Boston Col.,8-Jun,316,5.21,,,106,7.71,4.7,,,,
2025,Jalen Travis,OT,Iowa St.,8-Jun,339,5.14,35,,112,,,,,,
2025,Xavier Truss,G,Georgia,7-Jun,309,5.24,26,,103,,,,,,
2025,JT Tuimoloau,EDGE,Ohio St.,4-Jun,265,,,,,,,,,,
2025,Shemar Turner,DT,Texas A&M,3-Jun,290,,,,,,,,,,
2025,Bhayshul Tuten,RB,Virginia Tech,9-May,206,4.32,40.5,,130,,4.41,,,,
2025,Princely Umanmielen,EDGE,Mississippi,4-Jun,244,4.72,38,,126,7.33,4.46,,,,
2025,Malik Verdon,SAF,Iowa St.,4-Jun,218,,,,,7.06,4.34,,,,
2025,Carson Vinson,OT,Alabama A&M,7-Jun,314,5.12,28.5,,111,7.51,,,,,
2025,David Walker,EDGE,Central Arkansas,1-Jun,263,4.69,35,26,118,7.15,4.39,,,,
2025,Deone Walker,DT,Kentucky,7-Jun,331,,25,,104,,,,,,
2025,Jalon Walker,LB,Georgia,1-Jun,243,,,,,,,,,,
2025,Justin Walley,CB,Minnesota,10-May,190,4.4,,,,,,,,,
