overall_pick_number,position,draft_value
79,WR,123.67331614519571
79,TE,133.59551866890354
80,QB,133.1360540122053
80,RB,144.9304979419227
80,WR,123.25228909045356
80,TE,133.31591554881533
81,QB,130.1752846322306
81,RB,144.8772603950207
81,WR,122.85579842580427
81,TE,132.94558878854184
82,QB,127.28025057325834
82,RB,144.71465458627983
82,WR,122.48197772960867
82,TE,132.49263787289303
83,QB,124.46587782646358
83,RB,144.44353033798234
83,WR,122.12866297694006
83,TE,131.96567079289153
84,QB,121.74729828424373
84,RB,144.06565468539245
84,WR,121.7934203259916
84,TE,131.37366768226127
85,QB,119.13963801157712
85,RB,143.58366288596335
85,WR,121.47357781588798
85,TE,130.7258429479497
86,QB,116.65779953387063
86,RB,143.0010016862994
86,WR,121.16626046512032
86,TE,130.0315078305648
87,QB,114.3162415825977
87,RB,142.32186575349732
87,WR,120.86842821910668
87,TE,129.29993531234263
88,QB,112.12875978155581
88,RB,141.55112823946507
88,WR,120.57691616315918
88,TE,128.5402292443981
89,QB,110.10827174503802
89,RB,140.69426649435724
89,WR,120.28847639369329
89,TE,127.76119949199091
90,QB,108.26660999499629
90,RB,139.75728397807688
90,WR,119.99982092607439
90,TE,126.97124479770284
91,QB,106.61432598846781
91,RB,138.7466294366348
91,WR,119.7076650121439
91,TE,126.17824493900204
92,QB,105.16050838139776
92,RB,137.66911441320215
92,WR,119.40877024408476
92,TE,125.3894636106138
93,QB,103.91261844273076
93,RB,136.53183015213014
93,WR,119.09998683378532
93,TE,124.61146329558031
94,QB,102.87634527716635
94,RB,135.3420649285963
94,WR,118.77829447781497
94,TE,123.85003320425938
95,QB,102.05548321986481
95,RB,134.10722279750487
95,WR,118.44084124719961
95,TE,123.11013116065152
96,QB,101.4518334364663
96,RB,132.83474470367688
96,WR,118.08497997778137
96,TE,122.39584010316405
97,QB,101.06513140202668
97,RB,131.53203283226264
97,WR,117.70830168045157
97,TE,121.7103396455359
98,QB,100.89300154839653
98,RB,130.2063790048219
98,WR,117.3086655402175
98,TE,121.05589291629542
99,QB,100.93093996704273
99,RB,128.86489784396596
99,WR,116.88422512808705
99,TE,120.4338486652825
100,QB,101.1723256393249
100,RB,127.51446533923988
100,WR,116.4334505092735
100,TE,119.84465839682318
101,QB,101.6084602451547
101,RB,126.16166335050063
101,WR,115.95514599428196
101,TE,119.28790806446152
102,QB,102.22863617997442
102,RB,124.81273048401766
102,WR,115.44846334509346
102,TE,118.76236364516254
103,QB,103.02023199543092
103,RB,123.47351967238399
103,WR,114.91291031591756
103,TE,118.26602970471416
104,QB,103.96883407711344
104,RB,122.14946268377348
104,WR,114.34835447582967
104,TE,117.7962198738398
105,QB,105.058382989175
105,RB,120.84554168061702
105,WR,113.75502232807774
105,TE,117.34963797909779
106,QB,106.27134255625008
106,RB,119.56626784398127
106,WR,113.13349380693646
106,TE,116.92246841659066
107,QB,107.58888942297114
107,RB,118.31566697931193
107,WR,112.48469229679392
107,TE,116.51047422218815
108,QB,108.99112053546008
108,RB,117.09727192316323
108,WR,111.8098703787594
108,TE,116.10910118134667
109,QB,110.45727573151794
109,RB,115.91412148036794
109,WR,111.1105915666946
109,TE,115.7135862363594
110,QB,111.96597241071953
110,RB,114.76876553805016
110,WR,110.38870834637898
110,TE,115.31906839019194
111,QB,113.49544908499833
111,RB,113.66327592797138
111,WR,109.64633687792023
111,TE,114.92070027491563
112,QB,115.0238144871645
112,RB,112.59926254287687
112,WR,108.88582876185286
112,TE,114.51375854947148
113,QB,116.52929884051612
113,RB,111.57789415652456
113,WR,108.10974030321667
113,TE,114.09375131623433
114,QB,117.99050386831189
114,RB,110.59992335151664
114,WR,107.32079973483633
114,TE,113.65652079809942
115,QB,119.38664814740551
115,RB,109.66571492437279
115,WR,106.52187288079061
115,TE,113.19833959689072
116,QB,120.69780448524247
116,RB,108.77527711367466
116,WR,105.71592775348654
116,TE,112.71599895848611
117,QB,121.9051261222377
117,RB,107.92829498468826
117,WR,104.9059985828078
117,TE,112.20688759867431
118,QB,122.99105873039683
118,RB,107.12416530249827
118,WR,104.09514977350864
118,TE,111.66905979436648
119,QB,123.93953539101749
119,RB,106.36203223509456
119,WR,103.28644027758759
119,TE,111.10129161517938
120,QB,124.73615198609946
120,RB,105.64082324758753
120,WR,102.48288885204494
120,TE,110.50312435794405
121,QB,125.36832072590283
121,RB,104.95928457821407
121,WR,101.68744064955963
121,TE,109.87489444858714
122,QB,125.82539985421329
122,RB,104.31601572525261
122,WR,100.90293556072693
122,TE,109.21774928898765
123,QB,126.09879791874916
123,RB,103.70950242058291
123,WR,100.13207869204324
123,TE,108.53364874761286
124,QB,126.18205136113387
124,RB,103.13814761935299
124,WR,99.37741332452907
124,TE,107.82535221867546
125,QB,126.07087456385435
125,RB,102.60030009504595
125,WR,98.6412966543067
125,TE,107.09639140169963
126,QB,125.7631818844562
126,RB,102.09428029396642
126,WR,97.92587856944684
126,TE,106.35102917845347
127,QB,125.25908160437999
127,RB,101.61840317161473
127,WR,97.23308366764815
127,TE,105.59420518361571
128,QB,124.56084211521355
128,RB,101.17099780432257
128,WR,96.56459666767296
128,TE,104.83146887607936
129,QB,123.6728310530488
129,RB,100.7504236416379
129,WR,95.92185131471732
129,TE,104.06890111621735
130,QB,122.60142846624193
130,RB,100.35508333699839
130,WR,95.3060228268873
130,TE,103.31302543769985
131,QB,121.35491545802817
131,RB,99.98343216500821
131,WR,94.71802387745629
131,TE,102.57071036780117
132,QB,119.94334007762245
132,RB,99.63398410191874
132,WR,94.15850405643175
132,TE,101.84906429502894
133,QB,118.3783625373602
133,RB,99.30531471061167
133,WR,93.62785270584709
133,TE,101.15532450508282
134,QB,116.67308210438478
134,RB,98.99606103143009
134,WR,93.12620497689062
134,TE,100.4967421038062
135,QB,114.84184824998499
135,RB,98.7049187346401
135,WR,92.65345091408868
135,TE,99.88046461732925
136,QB,112.90005883446821
136,RB,98.43063683835908
136,WR,92.20924733287944
136,TE,99.31341810394949
137,QB,110.8639482580868
137,RB,98.17201033660339
137,WR,91.79303222257167
137,TE,98.80219062871234
138,QB,108.75036861685803
138,RB,97.92787111530367
138,WR,91.40404137729172
138,TE,98.35291893986192
139,QB,106.57656696516983
139,RB,97.69707755904598
139,WR,91.04132693344738
139,TE,97.97118014642847
140,QB,104.35996180406826
140,RB,97.47850326783663
140,WR,90.70377747372906
140,TE,97.66189012882087
141,QB,102.1179218853928
141,RB,97.27102531102601
141,WR,90.39013934490222
141,TE,97.42921032025504
142,QB,99.86755034816849
142,RB,97.07351244481987
142,WR,90.09903882969246
142,TE,97.27646437769107
143,QB,97.62547708657954
143,RB,96.88481371058941
143,WR,89.82900481189164
143,TE,97.20606611824539
144,QB,95.40766209029857
144,RB,96.7037478138351
144,WR,89.57849157835908
144,TE,97.21945993308552
145,QB,93.22921230108767
145,RB,96.52909365857181
145,WR,89.34590141157472
145,TE,97.31707470786084
146,QB,91.10421429730343
146,RB,96.35958237961235
146,WR,89.12960664164476
146,TE,97.49829207958423
147,QB,89.04558485443482
147,RB,96.19389117650744
147,WR,88.9279708467059
147,TE,97.76142964753093
148,QB,87.06494113919501
148,RB,96.03063920841389
148,WR,88.73936891514987
148,TE,98.10373953323432
149,QB,85.17249198139558
149,RB,95.86838575989373
149,WR,88.56220571152592
149,TE,98.52142245551424
150,QB,83.37695133746175
150,RB,95.70563083449323
150,WR,88.39493311970662
150,TE,99.0096572538924
151,QB,81.68547471628614
151,RB,95.54081827695298
151,WR,88.23606527151189
151,TE,99.56264556147444
152,QB,80.10361898826679
152,RB,95.37234146706463
152,WR,88.08419180568112
152,TE,100.1736710996209
153,QB,78.63532564679528
153,RB,95.19855156967513
153,WR,87.93798904031574
153,TE,100.83517284517579
154,QB,77.28292724355603
154,RB,95.01776826716412
154,WR,87.79622898099214
154,TE,101.5388311098621
155,QB,76.04717638017368
155,RB,94.82829284396821
155,WR,87.65778612598973
155,TE,102.27566537389899
156,QB,74.927296313949455
156,RB,94.62842343847181
156,WR,87.5216420688498
156,TE,103.0361425350197
157,QB,73.92105192943762
157,RB,94.41647222675334
157,WR,87.38688793614946
157,TE,103.81029407246922
158,QB,73.02483954508102
158,RB,94.19078425628643
158,WR,87.25272473430435
158,TE,104.58784048589877
159,QB,72.23379376896759
159,RB,93.94975760650769
159,WR,87.11846171285106
159,TE,105.3583212532683
160,QB,71.54190939357409
160,RB,93.69186451796529
160,WR,86.98351288252319
160,TE,106.11122846190388
161,QB,70.94217612949774
161,RB,93.4156731032096
161,WR,86.84739185396487
161,TE,106.83614220396984
162,QB,70.42672382486666
162,RB,93.11986923122335
162,WR,86.70970518682681
162,TE,107.52286579301648
163,QB,69.98697570245764
163,RB,92.80327816331886
163,WR,86.57014445886327
163,TE,108.16155885221127
164,QB,69.61380707203614
164,RB,92.46488551249128
164,WR,86.4284772802425
164,TE,108.74286634796144
165,QB,69.29770694135408
165,RB,92.10385710018818
165,WR,86.28453748944459
165,TE,109.25804169413519
166,QB,69.02893995622242
166,RB,91.71955729441464
166,WR,86.13821477369717
166,TE,109.69906213168329
167,QB,68.79770614684202
167,RB,91.31156543089956
167,WR,85.98944395893422
167,TE,110.05873469478897
168,QB,68.59429604372718
168,RB,90.87968994438464
168,WR,85.83819421171248
168,TE,110.33079120634551
169,QB,68.40923884957897
169,RB,90.42397986962564
169,WR,85.68445838860791
169,TE,110.50997090062901
170,QB,68.23344151113452
170,RB,89.94473341075982
170,WR,85.52824275754871
170,TE,110.59208944727786
171,QB,68.05831672514518
171,RB,89.4425033228585
171,WR,85.36955730043184
171,TE,110.57409334555956
172,QB,67.8758981305109
172,RB,88.91809889976503
172,WR,85.2084067878312
172,TE,110.45409886852846
173,QB,67.6789411816622
173,RB,88.37258441704358
173,WR,85.04478279479054
173,TE,110.23141496004601
174,QB,67.46100846165888
174,RB,87.80727393707696
174,WR,84.8786568021738
174,TE,109.90654972043023
175,QB,67.21653847291549
175,RB,87.22372244403297
175,WR,84.70997450129045
175,TE,109.4812003553478
176,QB,66.94089723435258
176,RB,86.6237133386081
176,WR,84.53865139101623
176,TE,108.9582267039244
177,QB,66.6304123110404
177,RB,86.00924238506286
177,WR,84.36456972700859
177,TE,108.34160870254593
178,QB,66.28238920158634
178,RB,85.3824982650389
178,WR,84.18757685232303
178,TE,107.63638837663433
179,QB,65.89511030427315
179,RB,84.74583995294628
179,WR,84.00748490847116
179,TE,106.84859718075415
180,QB,65.46781697078603
180,RB,84.10177118532528
180,WR,83.8240718961758
180,TE,105.9851697240469
181,QB,65.0006754316446
181,RB,83.45291235041927
181,WR,83.63708402640059
181,TE,105.05384512024997
182,QB,64.49472763569167
182,RB,82.80197017353554
182,WR,83.4462392751119
182,TE,104.06305738645139
183,QB,63.95182828316473
183,RB,82.15170561751182
183,WR,83.25123203025296
183,TE,103.02181647951406
184,QB,63.374569544265455
184,RB,81.50490045518785
184,WR,83.05173869695196
184,TE,101.9395817015199
185,QB,62.76619513963345
185,RB,80.86432300140768
185,WR,82.84742410744859
185,TE,100.82612932335365
186,QB,62.13050561276265
186,RB,80.23269351528961
186,WR,82.63794856601864
186,TE,99.69141636737811
187,QB,61.47175674474158
187,RB,79.61264979879334
187,WR,82.42297534655503
187,TE,98.54544255438535
188,QB,60.79455314787583
188,RB,79.0067135247727
188,WR,82.20217845155302
188,TE,97.39811245596854
189,QB,60.10373912433812
189,RB,78.41725782644693
189,WR,81.97525043641679
189,TE,96.25909990080919
190,QB,59.40428888979824
190,RB,77.84647667071373
190,WR,81.74191010206995
190,TE,95.13771666187043
191,QB,58.70119823921493
191,RB,77.29635651987147
191,WR,81.50190986202124
191,TE,94.04278740187112
192,QB,57.999379673812484
192,RB,76.7686507605253
192,WR,81.25504259713617
192,TE,92.98253277733102
193,QB,57.30356291573918
193,RB,76.26485734510891
